Ref,Val,Package,PosX,PosY,Rot,Side
"R16","5.1k_0.1W_0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",228.600000,-73.300000,0.000000,bottom
"R17","100R_0.1W_0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",157.605520,-115.661299,180.000000,bottom
"R18","100R_0.1W_0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",157.605520,-117.261300,180.000000,bottom
"R19","100R_0.1W_0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",157.605520,-118.861298,180.000000,bottom
"R20","100R_0.1W_0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",157.605520,-120.461296,180.000000,bottom
"R21","100R_0.1W_0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",157.605520,-122.061299,180.000000,bottom
"R22","100R_0.1W_0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",157.605519,-123.661298,180.000000,bottom
"R23","100R_0.1W_0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",157.605520,-125.261298,180.000000,bottom
"R24","100R_0.1W_0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",157.605520,-126.961298,180.000000,bottom
"R25","100R_0.1W_0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",157.605520,-128.661298,180.000000,bottom
"R26","100R_0.1W_0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",131.400000,-119.811297,-90.000000,bottom
"R27","100R_0.1W_0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",133.000000,-119.823797,-90.000000,bottom
"R28","100R_0.1W_0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",134.600000,-119.811297,-90.000000,bottom
"R29","100R_0.1W_0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",136.200000,-119.811298,-90.000000,bottom
"R30","100R_0.1W_0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",137.900000,-119.811297,-90.000000,bottom
"R31","100R_0.1W_0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",139.500000,-119.811297,-90.000000,bottom
"R32","100R_0.1W_0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",141.100000,-119.811297,-90.000000,bottom
"R33","100R_0.1W_0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",142.700001,-119.811297,-90.000000,bottom
"R34","100R_0.1W_0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",144.300000,-119.811298,-90.000000,bottom
"R35","100R_0.1W_0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",157.600000,-91.011297,180.000000,bottom
"R36","100R_0.1W_0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",157.600000,-92.711297,180.000000,bottom
"R37","100R_0.1W_0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",157.600000,-94.411297,180.000000,bottom
"R38","100R_0.1W_0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",157.600000,-96.011297,180.000000,bottom
"R39","100R_0.1W_0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",157.600000,-97.611297,180.000000,bottom
